Timestamp,CONSENT SURVEY:,What age group do you belong to?,What is your sex?,What is your highest education attainment?,What region are you from?,Name of Your Company:,1A. I know my organization's mission (what it is trying to accomplish).,1B. I know my organization's vision (where it is trying to go in the future).,1C. My senior (top) leaders are ethical and demonstrate our organization's value.,1D. My senior leaders create a work environment that helps me do my job.,1E. My organization's leaders share information about the organization.,1F. My organization asks what I think.,"2A. As it plans for the future, my organization asks for my ideas.",2B. My organization encourages totally new ideas (innovation).,2C. I know the parts of my organization's plans that will affect me and my work.,2D. I know how to tell if we are making progress on my workgroup's part of the plan.,2E. My organization is flexible and makes changes quickly when needed.,3A. I know who my most important customers are.,3B. I regulary ask my customers what they needs and want.,3C. I ask if my customers are satisfied or dissatisfied with my work.,3D. I am allowed to make decisions to satisfy my customers.,3E. I also know who my organization's most important customers are.,4A. I know how to measure the quality of work.,4B. I can use this information to make changes that will improve my work.,4C. I know how the measures I use in my work fit into the organization's overall measures of improvement.,4D. I get all the important information I need to do my work.,4E. I know how my organization as a whole is doing.,5A. The people I work with cooperate and work as a team.,5B. My bosses encourage me to develop my job skills so I can advance in my career.,5C. I am recognized for my work.,5D. I have a safe workplace.,5E. My bosses and my organization care about me.,5F. I am committed to my organization's success.,6A. I can get everything I need to do my job.,6B. We have good processes for doing our work.,6C. I can improve my work processes when necessary.,6D. We are prepared to handle the emergency.,7A. My work products meet all requirements.,7B. My customers are satisified with my work.,7C. I know how well my organization is doing financially.,7D. My organization has the right people and skills to do its work.,7E. My organization removes things that get in the way of progess.,7F. My organization obeys laws and regulations.,7G. My organization practices high standards and ethics.,7H. My organization helps me help my community.,7I. My organization is good place to work.
7/18/2022 16:57:06,AGREE,21 to 30 years old,Male,High School Level,Region IX: Zamboanga Peninsula,Diamond Noodles Factory,3,4,3,4,4,3,4,3,3,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4,3,4,3
7/18/2022 17:04:22,AGREE,21 to 30 years old,Male,High School Level,Region IX: Zamboanga Peninsula,Diamond Noodles Factory,3,3,3,3,4,3,3,4,2,3,4,3,3,4,3,3,3,3,3,4,4,4,4,4,3,4,4,4,3,2,3,3,3,4,3,3,3,4,3,4
7/19/2022 15:37:41,AGREE,21 to 30 years old,Male,High School Level,Region IX: Zamboanga Peninsula,Diamond Noodles Factory,4,4,3,4,4,3,4,4,4,4,4,3,2,2,2,2,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,4,4,3,3,4
7/19/2022 16:09:07,AGREE,21 to 30 years old,Male,High School Level,Region IX: Zamboanga Peninsula,Diamond Noodles Factory,4,4,3,4,3,3,3,3,3,4,3,4,4,3,3,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4
7/25/2022 8:34:56,AGREE,21 to 30 years old,Female,College Graduate,Region XII: Soccsksargen,Kablon Farm Food Corporation,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,2,2,3,3,3,3,3
7/25/2022 8:41:59,AGREE,31 to 40 years old,Male,College Graduate,Region XII: Soccsksargen,Kablon Farm Food Corporation,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7/25/2022 8:44:20,AGREE,31 to 40 years old,Female,College Level,Region XII: Soccsksargen,Kablon Farm Food Corporation,4,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,3,3
7/25/2022 8:47:17,AGREE,21 to 30 years old,Female,College Graduate,Region XII: Soccsksargen,Kablon Farm Food Corporation,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,4,3,4,3,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,4,4,3,4
7/25/2022 10:32:31,AGREE,50 to 60 years old,Female,College Graduate,Region XII: Soccsksargen,Kablon Farm Food Corporation,4,4,4,4,4,3,3,3,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7/28/2022 9:50:07,AGREE,21 to 30 years old,Female,College Level,Region V: Bicol Region,J. Emmanuel Pastries,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7/28/2022 9:51:20,AGREE,50 to 60 years old,Female,College Graduate,Region V: Bicol Region,J. Emmanuel Pastries,4,4,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,3,4,4,4,4
7/28/2022 9:54:27,AGREE,50 to 60 years old,Female,High School Level,Region V: Bicol Region,J. Emmanuel Pastries,4,4,4,4,3,3,3,3,4,3,3,4,4,3,3,4,4,4,3,4,3,3,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4
7/28/2022 9:55:14,AGREE,60 years old and above,Female,Elementary,Region V: Bicol Region,J. Emmanuel Pastries,4,4,4,3,4,3,3,4,3,4,4,4,3,3,4,3,4,3,4,4,3,3,3,4,4,3,4,3,4,4,3,3,3,4,3,3,4,4,3,4
7/28/2022 9:55:16,AGREE,21 to 30 years old,Female,High School Graduate,Region V: Bicol Region,J. Emmanuel Pastries,2,2,3,3,3,2,3,3,3,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4
7/28/2022 9:55:19,AGREE,21 to 30 years old,Male,College Graduate,Region V: Bicol Region,J. Emmanuel Pastries,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,4,4,4,4,4,3,4,3,4,4,4,4
7/28/2022 10:48:40,AGREE,41 to 50 years old,Female,High School Level,Region V: Bicol Region,J. Emmanuel Pastries,3,3,2,3,4,2,3,3,4,3,3,3,3,4,4,3,3,4,3,4,3,3,4,3,4,4,4,3,4,4,3,4,4,4,2,3,3,2,3,3
7/28/2022 10:48:46,AGREE,50 to 60 years old,Female,College Graduate,Region V: Bicol Region,J. Emmanuel Pastries,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4
7/28/2022 10:48:48,AGREE,21 to 30 years old,Male,High School Level,Region V: Bicol Region,J. Emmanuel Pastries,3,3,3,4,3,3,3,4,3,3,3,4,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,4,3,4,4,3
7/28/2022 10:48:50,AGREE,31 to 40 years old,Male,High School Graduate,Region V: Bicol Region,J. Emmanuel Pastries,3,3,3,4,3,3,3,3,4,3,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3,3,4,3,3,4,3
7/28/2022 10:48:51,AGREE,31 to 40 years old,Female,High School Level,Region V: Bicol Region,J. Emmanuel Pastries,4,4,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7/28/2022 10:48:52,AGREE,41 to 50 years old,Female,Elementary,Region V: Bicol Region,J. Emmanuel Pastries,3,4,2,4,2,3,3,3,3,3,2,3,2,4,3,4,3,4,4,4,3,4,3,3,3,3,4,4,3,4,3,4,3,4,3,2,3,3,4,3
7/31/2022 14:30:47,AGREE,21 to 30 years old,Female,College Graduate,Region III: Central Luzon,Angel Farmers Gourmet Food Corporation,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4
8/10/2022 9:07:54,AGREE,21 to 30 years old,Female,College Graduate,Region IV-A: Calabarzon,C&H Cosmetics Industry,3,3,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,4,3,4,3,3,4,3,4,4,4,4,4,4,4,3,4
8/10/2022 9:18:53,AGREE,21 to 30 years old,Male,College Graduate,Region IV-A: Calabarzon,C&H Cosmetics Industry,4,4,3,3,3,3,2,3,4,3,4,4,3,3,3,4,3,4,3,4,4,4,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3
8/10/2022 9:20:25,AGREE,41 to 50 years old,Female,College Graduate,Region IV-A: Calabarzon,C&H Cosmetics Industry,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3
8/10/2022 10:01:59,AGREE,41 to 50 years old,Male,College Level,National Capital Region (NCR),C&H Cosmetics Industry,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4
8/10/2022 12:42:17,AGREE,21 to 30 years old,Female,College Level,Region IV-A: Calabarzon,C&H Cosmetics Industry,3,3,3,4,4,3,3,4,3,3,4,4,4,3,3,3,3,4,3,4,3,4,4,3,4,3,3,4,3,4,4,3,3,3,4,4,3,3,3,3
9/12/2022 8:12:25,AGREE,31 to 40 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",4,4,4,4,3,4,3,3,3,3,3,3,4,3,3,4,3,4,3,4,4,4,4,3,3,4,4,3,3,4,3,4,3,3,4,3,4,4,3,4
9/12/2022 8:25:33,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,3,4,4,2,3,3,3,4,3,2,3,4,3
9/12/2022 8:27:34,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,4,3,2,3,3,3,4,3,3,3,4,3,3,3,4,4,4,3,3,3,4,3,3,4,2,4,3,3,3,3,3,3,3,4,3,3,3,3,3
9/12/2022 8:36:22,AGREE,21 to 30 years old,Male,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,2,4,3,3,4,4,4,3,3,3,2,3,3,3,3,2,3,3,1,2,3,3,3,4,3
9/12/2022 8:37:23,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,4,3,3,4,3,4,3,3,3,3,4,3,4,4,3,4,4,2,3,2,3,3,3,3
9/12/2022 8:40:40,AGREE,31 to 40 years old,Male,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,4,3,3,3,3,4,3,3,3,2,3,4,4,4,4,3,3,3,3,1,2,4,3,3,3,4,3,3,4,3,3,3,4,2,1,4,3,3,4
9/12/2022 8:40:51,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",4,4,3,2,4,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,2,4,3,3,4,3,3,3,2,3,3,3,3,2,4,2,3,3,4,3
9/12/2022 8:41:44,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,3,2,4,3,3,3,3,3,4,2,3,3,3,3,3,3,2,2,2,4,2,3,3,2,3,3,2,3,3,3,3,1,3,2,3,3,3,3
9/12/2022 8:50:22,AGREE,21 to 30 years old,Female,College Graduate,Region X: Northern Mindanao,"Herbanext Laboratories, Inc.",4,4,3,3,4,4,4,4,4,4,2,4,2,3,2,2,3,3,3,2,1,3,3,2,3,3,3,3,3,3,2,3,3,1,2,2,3,3,3,3
9/12/2022 8:51:10,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,4,3,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,2,4,4,4,4,4,3,3,2,3,4,3,3,3,2,3,2,3,3,3,3
9/12/2022 8:52:19,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9/12/2022 8:54:20,AGREE,50 to 60 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3
9/12/2022 9:01:21,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,2,3,2,2,3
9/12/2022 9:15:18,AGREE,21 to 30 years old,Male,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,2,3,3,3,3,3,3,4,3,3,3,3,2,3,4,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,2,3,2,2,3,3,3
9/12/2022 9:25:15,AGREE,31 to 40 years old,Male,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",4,3,3,3,3,3,3,2,3,4,2,4,3,3,3,3,4,4,4,4,4,4,4,2,2,2,4,2,3,4,2,3,4,2,4,3,4,4,4,3
9/12/2022 9:25:37,AGREE,21 to 30 years old,Male,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,4,3,3,3,3,2,2,2,2,2,3,3
9/12/2022 9:35:31,AGREE,21 to 30 years old,Male,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9/12/2022 9:37:21,AGREE,31 to 40 years old,Male,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3
9/12/2022 9:41:22,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,4,4,4,3,3,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,4,4,3,3,3,4
9/12/2022 10:05:50,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,4,4,3,3,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,4,3,2,3,3,2,3,4,3
9/12/2022 10:09:28,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,1,4,3,1,1,2,4,4,3,4,3,2,2,1,4,4,4,4,4,3,4,4,2,4,1,4,4,3,4,2,3,3,2,4,3,4,4,2,3
9/12/2022 10:19:50,AGREE,41 to 50 years old,Male,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",2,2,2,1,2,2,2,3,3,3,2,3,3,3,2,3,4,4,3,2,3,3,3,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,3
9/12/2022 11:14:17,AGREE,41 to 50 years old,Female,Post-Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",1,1,1,2,1,2,1,2,2,2,3,4,2,2,2,4,3,3,3,3,1,4,3,1,1,2,3,3,3,3,2,4,4,2,1,2,3,3,2,1
9/12/2022 13:50:13,AGREE,21 to 30 years old,Male,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,2,4,2,4,3,3,3,3,4,3,3,3,3,4,4,3,3
9/12/2022 15:34:10,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",4,4,4,4,4,3,3,4,4,4,3,4,3,2,3,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,3,2,3,3,4,3,4,4
9/12/2022 16:41:34,AGREE,21 to 30 years old,Male,Post-Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",4,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,4,4,4,4
9/13/2022 9:24:02,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,3,4,4,4,4,4,3,3,3,3,3,3,4
9/13/2022 11:24:13,AGREE,21 to 30 years old,Female,College Graduate,Region VI: Western Visayas,"Herbanext Laboratories, Inc.",3,3,4,3,3,4,3,4,3,3,4,3,3,3,2,3,4,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,4,3,3,3,4,4,4,4
10/5/2022 16:14:22,AGREE,21 to 30 years old,Female,College Level,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10/6/2022 10:05:17,AGREE,50 to 60 years old,Male,Elementary,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10/6/2022 10:23:35,AGREE,41 to 50 years old,Male,High School Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10/6/2022 10:27:08,AGREE,50 to 60 years old,Male,Elementary,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10/6/2022 15:26:43,AGREE,21 to 30 years old,Male,College Level,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,4,4,4,4,2,3,2,2,3,3,4,4,4,3,2,3,4,4,4,4,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10/7/2022 10:03:41,AGREE,21 to 30 years old,Male,High School Graduate,Region VIII: Eastern Visayas,Rodriguez Burger and Bread Corporation,3,3,3,3,2,2,2,3,4,3,2,3,4,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,4,3,3,4,3,3,2,3,2,3,2,2